Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789533418,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789533419,20,GET,GET /inventory/{product_id},0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,135.78370001050644,135.78370001050644,135.78370001050644,135.78370001050644,75.0
1789533419,20,POST,POST /events,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,9,0,170,167.80934444654525,145.0026000093203,192.79820000519976,80.0
1789533419,20,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,10,0,160,164.60678000294138,135.78370001050644,192.79820000519976,79.5
1789533420,30,GET,GET /inventory/{product_id},0.000000,0.000000,120,140,140,140,160,160,160,160,160,160,160,8,0,120,113.31337500087102,67.95319999218918,158.12279999954626,75.0
1789533420,30,POST,POST /events,0.000000,0.000000,100,150,160,160,170,180,180,180,180,180,180,22,0,150,140.3936090910892,69.06670000171289,192.79820000519976,80.0
1789533420,30,,Aggregated,0.000000,0.000000,120,140,160,160,170,180,180,180,180,180,180,30,0,140,133.17221333369767,67.95319999218918,192.79820000519976,78.66666666666667
1789533421,40,GET,GET /inventory/{product_id},0.000000,0.000000,80,140,140,140,160,170,170,170,170,170,170,15,0,80,104.01915333447202,46.31219999282621,168.93480000726413,75.0
1789533421,40,POST,POST /events,0.000000,0.000000,100,140,160,160,170,170,180,180,180,180,180,45,0,130,126.4209155565671,69.06670000171289,192.79820000519976,80.0
1789533421,40,,Aggregated,0.000000,0.000000,100,140,150,160,170,170,180,180,180,180,180,60,0,120,120.82047500104333,46.31219999282621,192.79820000519976,78.75
1789533422,50,GET,GET /inventory/{product_id},4.000000,0.000000,76,120,140,140,160,170,170,170,170,170,170,19,0,76,100.86958421207352,46.31219999282621,168.93480000726413,75.0
1789533422,50,POST,POST /events,11.000000,0.000000,96,120,160,160,170,180,180,190,190,190,190,81,0,100,119.29608518555962,69.06670000171289,193.33399999595713,80.0
1789533422,50,,Aggregated,15.000000,0.000000,94,120,150,160,170,180,180,190,190,190,190,100,0,100,115.79505000059726,46.31219999282621,193.33399999595713,79.05
1789533423,60,GET,GET /inventory/{product_id},5.000000,0.000000,75,120,140,140,150,160,170,170,170,170,170,24,0,75,97.1346125012739,46.31219999282621,168.93480000726413,75.0
1789533423,60,POST,POST /events,15.000000,0.000000,94,100,140,160,170,180,180,180,190,190,190,126,0,96,114.09579365101222,65.15029999718536,193.33399999595713,80.0
1789533423,60,,Aggregated,20.000000,0.000000,93,100,140,150,170,170,180,180,190,190,190,150,0,94,111.38200466705409,46.31219999282621,193.33399999595713,79.2
1789533424,70,GET,GET /inventory/{product_id},4.750000,0.000000,73,76,120,140,150,160,170,170,170,170,170,34,0,73,90.32185588319622,46.31219999282621,168.93480000726413,75.0
1789533424,70,POST,POST /events,20.000000,0.000000,94,100,130,160,170,180,180,190,190,190,190,174,0,95,112.58936896599059,65.15029999718536,193.33399999595713,80.0
1789533424,70,,Aggregated,24.750000,0.000000,93,100,130,150,170,180,180,190,190,190,190,208,0,93,108.94948701976458,46.31219999282621,193.33399999595713,79.1826923076923
1789533425,80,GET,GET /inventory/{product_id},4.600000,0.000000,74,79,130,140,150,160,170,170,170,170,170,50,0,74,91.69830600003479,46.31219999282621,168.93480000726413,75.0
1789533425,80,POST,POST /events,24.000000,0.000000,94,100,110,140,170,180,180,190,1100,1100,1100,226,0,95,114.10348230141753,63.73219999659341,1138.5458000004292,80.0
1789533425,80,,Aggregated,28.600000,0.000000,93,100,110,140,170,180,180,190,1100,1100,1100,276,0,93,110.04457355116703,46.31219999282621,1138.5458000004292,79.09420289855072
1789533426,90,GET,GET /inventory/{product_id},5.333333,0.000000,74,79,130,140,150,160,160,170,170,170,170,60,0,74,90.88825166666841,46.31219999282621,168.93480000726413,75.0
1789533426,90,POST,POST /events,27.333333,0.000000,93,100,110,130,170,180,180,200,1800,1800,1800,295,0,93,115.74417694927573,61.52920000022277,1829.61559999967,80.0
1789533426,90,,Aggregated,32.666667,0.000000,91,99,110,140,160,180,180,190,1800,1800,1800,355,0,91,111.5431754930604,46.31219999282621,1829.61559999967,79.15492957746478
